OBJECTID *,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
135,1,777.294549,6.152196,6.152196,0,6.152196,0,6.152196
136,1,777.294549,3.286134,3.286134,0,3.286134,0,3.286134
137,1,777.294549,8.718911,8.718911,0,8.718911,0,8.718911
138,2,1554.589099,8.242886,13.456147,5.213262,10.849516,2.606631,21.699033
139,2,1554.589099,4.410893,4.712132,0.301239,4.561513,0.15062,9.123025
140,2,1554.589099,1.624252,3.442335,1.818083,2.533294,0.909041,5.066587
141,2,1554.589099,2.617907,4.875779,2.257872,3.746843,1.128936,7.493685
142,2,1554.589099,3.735012,5.124009,1.388997,4.42951,0.694498,8.85902
143,1,777.294549,0.812289,0.812289,0,0.812289,0,0.812289
144,2,1554.589099,17.27305,20.881498,3.608448,19.077274,1.804224,38.154549
145,2,1554.589099,12.752178,15.167994,2.415816,13.960086,1.207908,27.920173
146,1,777.294549,0.726543,0.726543,0,0.726543,0,0.726543
147,2,1554.589099,1.815848,1.815848,0,1.815848,0,3.631695
148,1,777.294549,11.605026,11.605026,0,11.605026,0,11.605026
149,2,1554.589099,11.232467,12.862978,1.630511,12.047722,0.815256,24.095445
150,2,1554.589099,15.064677,16.847738,1.783061,15.956208,0.891531,31.912416
151,1,777.294549,6.194297,6.194297,0,6.194297,0,6.194297
152,2,1554.589099,5.124009,7.155366,2.031357,6.139687,1.015679,12.279375
153,2,1554.589099,1.624252,4.585495,2.961243,3.104874,1.480621,6.209747
154,2,1554.589099,0.812289,1.851784,1.039494,1.332037,0.519747,2.664073
155,2,1554.589099,10.092378,13.244807,3.15243,11.668592,1.576215,23.337185
156,2,1554.589099,1.851784,2.835079,0.983295,2.343431,0.491647,4.686862
157,2,1554.589099,31.872089,32.296738,0.424648,32.084414,0.212324,64.168827
158,1,777.294549,7.618418,7.618418,0,7.618418,0,7.618418
159,2,1554.589099,5.124009,7.307232,2.183223,6.21562,1.091612,12.431241
160,1,777.294549,3.245898,3.245898,0,3.245898,0,3.245898
161,2,1554.589099,3.122055,4.054935,0.93288,3.588495,0.46644,7.17699
162,2,1554.589099,3.923451,4.366134,0.442683,4.144792,0.221341,8.289584
163,1,777.294549,14.384203,14.384203,0,14.384203,0,14.384203
164,2,1554.589099,15.906266,16.029045,0.122779,15.967656,0.061389,31.935311
165,2,1554.589099,17.698761,18.624277,0.925516,18.161519,0.462758,36.323038
166,1,777.294549,6.649018,6.649018,0,6.649018,0,6.649018
167,2,1554.589099,3.10093,4.929098,1.828168,4.015014,0.914084,8.030028
168,1,777.294549,1.851784,1.851784,0,1.851784,0,1.851784
169,2,1554.589099,4.366134,4.410893,0.044759,4.388513,0.02238,8.777027
170,1,777.294549,10.79924,10.79924,0,10.79924,0,10.79924
171,2,1554.589099,2.642924,4.366134,1.72321,3.504529,0.861605,7.009057
172,2,1554.589099,0.812289,1.148674,0.336384,0.980481,0.168192,1.960963
173,2,1554.589099,1.851784,1.851784,0,1.851784,0,3.703568
174,2,1554.589099,11.12026,13.221602,2.101342,12.170931,1.050671,24.341863
175,2,1554.589099,8.71157,8.71157,0,8.71157,0,17.42314
176,2,1554.589099,1.624252,1.815848,0.191595,1.72005,0.095798,3.4401
177,2,1554.589099,3.423203,6.869427,3.446224,5.146315,1.723112,10.29263
178,2,1554.589099,5.991602,6.521021,0.529419,6.256312,0.264709,12.512624
179,2,1554.589099,2.117369,2.296425,0.179056,2.206897,0.089528,4.413794
180,1,777.294549,3.735012,3.735012,0,3.735012,0,3.735012
181,2,1554.589099,12.413041,18.000137,5.587096,15.206589,2.793548,30.413178
182,2,1554.589099,18.099182,19.130896,1.031713,18.615039,0.515857,37.230078
183,2,1554.589099,16.263958,16.274868,0.01091,16.269413,0.005455,32.538826
184,1,777.294549,0.513758,0.513758,0,0.513758,0,0.513758
185,1,777.294549,2.567137,2.567137,0,2.567137,0,2.567137
186,2,1554.589099,4.72599,5.224928,0.498938,4.975459,0.249469,9.950918
187,1,777.294549,5.991602,5.991602,0,5.991602,0,5.991602
188,1,777.294549,5.633262,5.633262,0,5.633262,0,5.633262
189,2,1554.589099,0.513758,2.054204,1.540447,1.283981,0.770223,2.567962
190,1,777.294549,23.55867,23.55867,0,23.55867,0,23.55867
191,2,1554.589099,1.309637,3.079659,1.770022,2.194648,0.885011,4.389295
192,2,1554.589099,2.764596,4.862356,2.097761,3.813476,1.04888,7.626952
193,1,777.294549,3.856006,3.856006,0,3.856006,0,3.856006
194,1,777.294549,11.12026,11.12026,0,11.12026,0,11.12026
195,2,1554.589099,6.668484,7.652177,0.983694,7.160331,0.491847,14.320661
196,2,1554.589099,2.764596,2.9264,0.161804,2.845498,0.080902,5.690995
197,2,1554.589099,3.079659,4.712132,1.632474,3.895895,0.816237,7.791791
198,1,777.294549,4.425711,4.425711,0,4.425711,0,4.425711
199,2,1554.589099,0.513758,1.027432,0.513675,0.770595,0.256837,1.54119
200,1,777.294549,15.286175,15.286175,0,15.286175,0,15.286175
201,1,777.294549,15.379939,15.379939,0,15.379939,0,15.379939
202,1,777.294549,1.027432,1.027432,0,1.027432,0,1.027432
203,1,777.294549,6.318864,6.318864,0,6.318864,0,6.318864
204,1,777.294549,23.433891,23.433891,0,23.433891,0,23.433891
205,1,777.294549,14.774076,14.774076,0,14.774076,0,14.774076
206,1,777.294549,9.972435,9.972435,0,9.972435,0,9.972435
207,2,1554.589099,12.591271,12.934657,0.343386,12.762964,0.171693,25.525928
208,1,777.294549,6.639263,6.639263,0,6.639263,0,6.639263
209,1,777.294549,3.9067,3.9067,0,3.9067,0,3.9067
210,1,777.294549,4.381105,4.381105,0,4.381105,0,4.381105
211,1,777.294549,8.227297,8.227297,0,8.227297,0,8.227297
212,2,1554.589099,12.781188,12.901263,0.120075,12.841226,0.060038,25.682451
213,1,777.294549,8.013705,8.013705,0,8.013705,0,8.013705
214,2,1554.589099,3.122055,3.787345,0.66529,3.4547,0.332645,6.9094
215,1,777.294549,4.054935,4.054935,0,4.054935,0,4.054935
216,1,777.294549,11.839178,11.839178,0,11.839178,0,11.839178
217,1,777.294549,17.161144,17.161144,0,17.161144,0,17.161144
218,2,1554.589099,23.371132,26.030556,2.659424,24.700844,1.329712,49.401688
219,1,777.294549,1.624252,1.624252,0,1.624252,0,1.624252
220,1,777.294549,6.183799,6.183799,0,6.183799,0,6.183799
221,1,777.294549,3.628055,3.628055,0,3.628055,0,3.628055
222,2,1554.589099,24.272659,25.210535,0.937876,24.741597,0.468938,49.483194
223,2,1554.589099,3.079659,6.600092,3.520434,4.839875,1.760217,9.679751
224,1,777.294549,5.621686,5.621686,0,5.621686,0,5.621686
225,2,1554.589099,6.82214,14.584819,7.762679,10.70348,3.881339,21.406959
226,2,1554.589099,12.591271,14.650974,2.059703,13.621123,1.029851,27.242246
227,2,1554.589099,3.10093,4.22897,1.12804,3.66495,0.56402,7.3299
228,2,1554.589099,14.650974,26.475697,11.824722,20.563335,5.912361,41.126671
229,1,777.294549,24.960293,24.960293,0,24.960293,0,24.960293
230,2,1554.589099,4.410893,8.71157,4.300677,6.561231,2.150338,13.122463
231,1,777.294549,11.902148,11.902148,0,11.902148,0,11.902148
232,1,777.294549,5.274648,5.274648,0,5.274648,0,5.274648
233,1,777.294549,8.389462,8.389462,0,8.389462,0,8.389462
234,2,1554.589099,5.274648,5.848748,0.5741,5.561698,0.28705,11.123396
235,1,777.294549,1.497547,1.497547,0,1.497547,0,1.497547
236,1,777.294549,18.807251,18.807251,0,18.807251,0,18.807251
237,1,777.294549,9.388534,9.388534,0,9.388534,0,9.388534
238,1,777.294549,7.227247,7.227247,0,7.227247,0,7.227247
239,2,1554.589099,14.235826,16.819839,2.584014,15.527833,1.292007,31.055665
240,2,1554.589099,7.412478,8.835484,1.423006,8.123981,0.711503,16.247962
241,1,777.294549,7.949257,7.949257,0,7.949257,0,7.949257
242,2,1554.589099,3.787345,6.152196,2.364851,4.969771,1.182425,9.939541
243,1,777.294549,1.089742,1.089742,0,1.089742,0,1.089742
244,1,777.294549,7.018521,7.018521,0,7.018521,0,7.018521
245,2,1554.589099,4.134963,6.668484,2.533521,5.401723,1.26676,10.803447
246,2,1554.589099,3.856006,4.712132,0.856127,4.284069,0.428063,8.568138
247,2,1554.589099,12.901263,15.565441,2.664178,14.233352,1.332089,28.466704
248,1,777.294549,19.551565,19.551565,0,19.551565,0,19.551565
249,2,1554.589099,7.592995,8.48821,0.895215,8.040602,0.447608,16.081204
250,2,1554.589099,3.923451,4.054935,0.131484,3.989193,0.065742,7.978386
251,2,1554.589099,1.851784,2.208719,0.356936,2.030252,0.178468,4.060503
252,1,777.294549,2.117369,2.117369,0,2.117369,0,2.117369
253,2,1554.589099,2.567137,2.642924,0.075786,2.60503,0.037893,5.210061
254,2,1554.589099,1.851784,2.324922,0.473138,2.088353,0.236569,4.176705
255,1,777.294549,4.72599,4.72599,0,4.72599,0,4.72599
256,1,777.294549,2.435563,2.435563,0,2.435563,0,2.435563
257,2,1554.589099,2.54137,2.99305,0.45168,2.76721,0.22584,5.53442
258,1,777.294549,8.600659,8.600659,0,8.600659,0,8.600659
259,1,777.294549,5.149428,5.149428,0,5.149428,0,5.149428
260,1,777.294549,1.148674,1.148674,0,1.148674,0,1.148674
261,2,1554.589099,16.46616,21.083092,4.616932,18.774626,2.308466,37.549252
262,2,1554.589099,7.119142,12.307727,5.188585,9.713434,2.594293,19.426868
263,1,777.294549,1.089742,1.089742,0,1.089742,0,1.089742
264,2,1554.589099,1.027432,1.148674,0.121241,1.088053,0.060621,2.176106
265,1,777.294549,4.22897,4.22897,0,4.22897,0,4.22897
266,2,1554.589099,12.934657,15.683846,2.749188,14.309251,1.374594,28.618503
267,2,1554.589099,9.224264,15.088594,5.86433,12.156429,2.932165,24.312859
268,2,1554.589099,2.567137,3.591687,1.02455,3.079412,0.512275,6.158824
269,1,777.294549,1.148674,1.148674,0,1.148674,0,1.148674
270,2,1554.589099,0.513758,3.345572,2.831814,1.929665,1.415907,3.859329
271,1,777.294549,6.953701,6.953701,0,6.953701,0,6.953701
272,1,777.294549,8.48821,8.48821,0,8.48821,0,8.48821
273,2,1554.589099,1.148674,3.591687,2.443013,2.37018,1.221507,4.740361
274,2,1554.589099,3.245898,4.613942,1.368044,3.92992,0.684022,7.85984
275,2,1554.589099,2.764596,3.423203,0.658607,3.093899,0.329304,6.187799
276,2,1554.589099,1.027432,1.452853,0.425421,1.240143,0.21271,2.480286
277,1,777.294549,4.712132,4.712132,0,4.712132,0,4.712132
278,1,777.294549,7.447215,7.447215,0,7.447215,0,7.447215
279,1,777.294549,14.401046,14.401046,0,14.401046,0,14.401046
280,2,1554.589099,25.670549,27.554829,1.884279,26.612689,0.94214,53.225378
281,2,1554.589099,10.851537,14.128726,3.277189,12.490131,1.638595,24.980263
282,2,1554.589099,11.475064,15.542398,4.067334,13.508731,2.033667,27.017463
283,2,1554.589099,7.727571,8.304935,0.577364,8.016253,0.288682,16.032507
284,1,777.294549,3.345572,3.345572,0,3.345572,0,3.345572
285,2,1554.589099,0.513758,1.955623,1.441866,1.23469,0.720933,2.469381
286,1,777.294549,1.497547,1.497547,0,1.497547,0,1.497547
287,1,777.294549,1.815848,1.815848,0,1.815848,0,1.815848
288,1,777.294549,6.953701,6.953701,0,6.953701,0,6.953701
289,1,777.294549,14.609669,14.609669,0,14.609669,0,14.609669
290,1,777.294549,4.862356,4.862356,0,4.862356,0,4.862356
291,2,1554.589099,3.923451,4.929098,1.005647,4.426274,0.502824,8.852549
292,2,1554.589099,4.134963,4.862356,0.727393,4.49866,0.363697,8.997319
293,2,1554.589099,1.815848,2.117369,0.301521,1.966608,0.150761,3.933217
294,1,777.294549,1.540942,1.540942,0,1.540942,0,1.540942
295,1,777.294549,4.134963,4.134963,0,4.134963,0,4.134963
296,2,1554.589099,1.027432,1.851784,0.824351,1.439608,0.412176,2.879216
297,2,1554.589099,2.117369,5.348341,3.230972,3.732855,1.615486,7.46571
298,2,1554.589099,2.435563,3.286134,0.85057,2.860848,0.425285,5.721697
299,2,1554.589099,4.410893,10.79924,6.388347,7.605067,3.194174,15.210133
300,2,1554.589099,4.054935,5.539957,1.485022,4.797446,0.742511,9.594892
301,2,1554.589099,2.54137,2.617907,0.076536,2.579638,0.038268,5.159277
