OBJECTID_1 *,OID_1,Order,Distance
328,84,2,443.797759
329,99,2,210.235938
330,206,2,3011.598235
331,387,2,3670.014424
332,272,3,2247.476425
333,222,2,1233.971508
334,64,6,92.508907
335,363,2,1869.791013
336,102,2,44.676348
337,173,3,2100.372171
338,426,2,5587.547482
339,474,2,1053.071501
340,316,2,3147.685025
341,205,3,1528.040138
342,225,3,4496.114894
343,55,2,1184.376735
344,512,2,4117.665289
345,17,2,303.584757
346,108,4,1058.263948
347,401,2,1487.318157
348,345,2,3551.404699
349,405,4,1670.782146
350,127,4,1172.668339
351,81,3,155.380719
352,138,2,116.179547
353,176,2,2589.892763
354,233,2,87.628098
355,502,2,1705.172582
356,29,2,2061.320635
357,136,2,2111.186075
358,349,2,1544.300325
359,224,3,472.856034
360,255,3,1150.665642
361,323,2,4787.805167
362,261,4,133.192739
363,139,2,759.852536
364,46,2,3077.504764
365,380,2,647.658328
366,291,4,2191.667377
367,414,2,2318.887818
368,482,2,3140.803673
369,562,2,2910.654599
370,308,3,40.996654
371,19,2,1266.376433
372,392,2,4767.80343
373,427,3,1642.526656
374,494,2,265.157911
375,340,5,2182.113528
376,440,2,4106.781675
377,370,2,3834.43296
378,191,2,144.107741
379,238,3,131.305463
380,94,2,4712.000887
381,447,3,999.919627
382,353,2,318.341884
383,354,3,207.44396
384,63,2,1351.22965
385,56,4,2903.742378
386,158,2,2808.776995
387,170,2,1057.616032
388,328,3,496.237357
389,70,2,988.754843
390,334,2,6248.838752
391,463,3,526.536597
392,431,2,1469.038952
393,52,2,734.887794
394,310,2,3309.954454
395,419,2,2044.917663
396,34,2,3915.762698
397,223,2,6129.128752
398,375,2,1700.521663
399,297,2,6055.592356
400,417,2,2393.369878
401,288,2,3708.695546
402,453,3,1833.8953
403,514,2,1695.219296
404,559,2,4593.769834
405,204,2,211.525048
406,378,2,5654.410704
407,177,2,5181.615263
408,71,3,2113.789935
409,76,2,2592.527726
410,400,2,5371.758239
411,411,2,1160.439405
412,74,2,5833.599876
413,7,3,3447.135397
414,114,4,1801.2195
415,25,3,468.75285
416,365,2,1618.101607
417,343,3,83.455976
418,96,2,549.02919
419,253,2,2119.540606
420,557,2,5505.712685
421,113,2,4014.952964
422,337,7,2830.232276
423,192,5,200.669853
424,443,2,566.539323
425,542,4,456.265948
426,496,3,40.306574
427,377,5,281.866563
428,551,4,1394.167739
429,399,2,3077.789631
430,403,2,3677.945375
431,442,2,4174.514691
432,472,3,1723.584827
433,432,2,657.058589
434,485,2,4785.345407
435,282,2,2863.264364
436,311,2,3315.3539
437,382,2,3346.291791
438,464,2,3621.369485
439,428,2,4306.092965
440,229,3,103.070281
441,217,5,58.260716
442,438,3,1217.53433
443,125,5,1719.229461
444,301,5,218.838314
445,256,2,596.803141
446,37,3,1789.41277
447,219,2,3224.999268
448,9,3,2139.075591
449,69,3,60.402897
450,481,2,3267.375975
451,134,2,33.956434
452,342,3,273.7324
453,260,3,246.522939
454,119,2,1084.563718
455,529,5,586.898661
456,420,2,290.640654
457,109,2,4135.526119
458,491,2,5663.759756
459,506,2,486.84438
460,490,2,2163.301149
461,184,2,6116.970012
462,470,2,2996.164397
463,164,2,4939.626444
464,458,2,3773.011604
465,144,2,2074.163306
466,509,2,1185.49052
467,244,3,2241.458455
468,42,3,2932.912799
469,515,2,979.550473
470,407,2,453.503947
471,536,2,4304.180579
472,143,3,507.992927
473,168,2,4049.056711
474,487,2,931.865849
475,406,2,370.892503
476,415,2,591.159521
477,92,7,2708.217766
478,135,4,90.235113
479,105,2,903.220328
480,230,2,763.428789
481,338,2,251.887903
482,21,3,3102.293598
483,359,3,365.216416
484,212,2,2418.488635
485,265,2,686.554188
486,112,3,3207.392935
487,123,2,3959.995095
488,145,2,2725.431096
489,277,2,1737.991553
490,12,2,1179.305404
491,33,2,1141.965999
492,544,2,3636.522852
493,88,4,3078.871586
494,234,4,1492.915205
495,146,2,2589.354139
496,390,2,4668.67021
497,495,7,207.931854
498,449,2,1301.555246
499,505,2,4961.62332
500,151,2,2711.66447
501,540,2,3639.480283
502,172,4,1490.674339
503,518,2,1338.243461
504,77,2,541.035128
505,508,7,1020.383936
506,296,2,1504.049139
507,141,2,2463.507019
508,236,4,70.79816
509,8,7,4515.92509
510,325,2,4643.478117
511,197,2,1053.581677
512,157,2,1403.034261
513,465,2,1123.911184
514,290,2,591.005759
515,530,2,4057.248452
516,75,2,2898.584769
517,152,2,3447.807956
518,155,2,2649.45772
519,516,2,661.119476
520,283,2,900.402558
521,90,2,2220.707488
522,129,2,2816.990201
523,95,2,484.674343
524,195,2,7483.839471
525,486,2,1315.687946
526,161,2,2394.101395
527,281,2,1012.966755
528,254,3,4421.466889
529,226,2,1228.07573
530,385,2,1610.257229
531,162,3,3364.725045
532,513,3,253.460307
533,36,2,4390.204542
534,327,2,94.262682
535,511,3,798.255118
536,524,3,3573.506131
537,23,3,3726.689124
538,189,3,1946.867985
539,49,3,2248.699851
540,318,3,608.233318
541,86,2,1726.633519
