OBJECTID_1,RASTERVALU,SPMT,SPMT(1),SPMT(2)
905,1,Siliceous loamy (2),2,2
912,1,Siliceous loamy (2),2,2
920,1,Siliceous loamy (2),2,2
927,1,Siliceous loamy (2),2,2
931,1,Siliceous loamy (2),2,2
937,1,Siliceous loamy (2),2,2
944,1,Siliceous loamy (2),2,2
945,1,Siliceous loamy (2),2,2
947,1,Siliceous loamy (2),2,2
948,1,Siliceous loamy (2),2,2
952,1,Siliceous loamy (2),2,2
953,1,Siliceous loamy (2),2,2
959,1,Siliceous loamy (2),2,2
970,1,Siliceous loamy (2),2,2
971,1,Siliceous loamy (2),2,2
982,1,Siliceous loamy (2),2,2
986,1,Siliceous loamy (2),2,2
989,1,Siliceous loamy (2),2,2
992,1,Siliceous loamy (2),2,2
998,1,Siliceous loamy (2),2,2
1003,1,Siliceous loamy (2),2,2
1007,1,Siliceous loamy (2),2,2
1014,1,Siliceous loamy (2),2,2
1017,1,Siliceous loamy (2),2,2
1021,1,Siliceous loamy (2),2,2
1030,1,Siliceous loamy (2),2,2
1032,1,Siliceous loamy (2),2,2
1036,1,Siliceous loamy (2),2,2
1043,1,Siliceous loamy (2),2,2
1045,1,Siliceous loamy (2),2,2
1049,1,Siliceous loamy (2),2,2
1058,1,Siliceous loamy (2),2,2
1066,1,Siliceous loamy (2),2,2
1068,1,Siliceous loamy (2),2,2
1071,1,Siliceous loamy (2),2,2
1073,1,Siliceous loamy (2),2,2
1078,1,Siliceous loamy (2),2,2
1088,1,Siliceous loamy (2),2,2
1090,1,Siliceous loamy (2),2,2
1091,1,Siliceous loamy (2),2,2
1097,1,Siliceous loamy (2),2,2
1099,1,Siliceous loamy (2),2,2
1100,1,Siliceous loamy (2),2,2
1103,1,Siliceous loamy (2),2,2
1108,1,Siliceous loamy (2),2,2
1110,1,Siliceous loamy (2),2,2
1116,1,Siliceous loamy (2),2,2
1118,1,Siliceous loamy (2),2,2
1120,1,Siliceous loamy (2),2,2
1121,1,Siliceous loamy (2),2,2
1122,1,Siliceous loamy (2),2,2
1123,1,Siliceous loamy (2),2,2
1127,1,Siliceous loamy (2),2,2
1130,1,Siliceous loamy (2),2,2
1132,1,Siliceous loamy (2),2,2
1135,1,Siliceous loamy (2),2,2
1138,1,Siliceous loamy (2),2,2
1153,1,Siliceous loamy (2),2,2
1158,1,Siliceous loamy (2),2,2
1159,1,Siliceous loamy (2),2,2
1162,1,Siliceous loamy (2),2,2
1172,1,Siliceous loamy (2),2,2
1175,1,Siliceous loamy (2),2,2
1183,1,Siliceous loamy (2),2,2
1184,1,Siliceous loamy (2),2,2
1186,1,Siliceous loamy (2),2,2
1188,1,Siliceous loamy (2),2,2
1190,1,Siliceous loamy (2),2,2
1197,1,Siliceous loamy (2),2,2
1204,1,Siliceous loamy (2),2,2
1208,1,Siliceous loamy (2),2,2
1210,1,Siliceous loamy (2),2,2
1219,1,Siliceous loamy (2),2,2
1226,1,Siliceous loamy (2),2,2
1228,1,Siliceous loamy (2),2,2
1231,1,Siliceous loamy (2),2,2
1236,1,Siliceous loamy (2),2,2
1240,1,Siliceous loamy (2),2,2
1241,1,Siliceous loamy (2),2,2
1246,1,Siliceous loamy (2),2,2
1247,1,Siliceous loamy (2),2,2
1248,1,Siliceous loamy (2),2,2
1253,1,Siliceous loamy (2),2,2
1254,1,Siliceous loamy (2),2,2
1263,1,Siliceous loamy (2),2,2
1275,1,Siliceous loamy (2),2,2
1276,1,Siliceous loamy (2),2,2
1284,1,Siliceous loamy (2),2,2
1285,1,Siliceous loamy (2),2,2
1288,1,Siliceous loamy (2),2,2
1291,1,Siliceous loamy (2),2,2
1292,1,Siliceous loamy (2),2,2
1293,1,Siliceous loamy (2),2,2
1295,1,Siliceous loamy (2),2,2
1298,1,Siliceous loamy (2),2,2
1306,1,Siliceous loamy (2),2,2
1307,1,Siliceous loamy (2),2,2
1319,1,Siliceous loamy (2),2,2
1323,1,Siliceous loamy (2),2,2
1324,1,Siliceous loamy (2),2,2
1325,1,Siliceous loamy (2),2,2
1327,1,Siliceous loamy (2),2,2
1329,1,Siliceous loamy (2),2,2
1333,1,Siliceous loamy (2),2,2
1336,1,Siliceous loamy (2),2,2
1338,1,Siliceous loamy (2),2,2
1340,1,Siliceous loamy (2),2,2
1343,1,Siliceous loamy (2),2,2
1347,1,Siliceous loamy (2),2,2
1348,1,Siliceous loamy (2),2,2
1358,1,Siliceous loamy (2),2,2
1362,1,Siliceous loamy (2),2,2
1367,1,Siliceous loamy (2),2,2
1371,1,Siliceous loamy (2),2,2
1373,1,Siliceous loamy (2),2,2
1374,1,Siliceous loamy (2),2,2
1376,1,Siliceous loamy (2),2,2
1383,1,Siliceous loamy (2),2,2
1405,1,Siliceous loamy (2),2,2
1417,1,Siliceous loamy (2),2,2
1419,1,Siliceous loamy (2),2,2
1421,1,Siliceous loamy (2),2,2
1423,1,Siliceous loamy (2),2,2
1425,1,Siliceous loamy (2),2,2
1437,1,Siliceous loamy (2),2,2
1447,1,Siliceous loamy (2),2,2
1450,1,Siliceous loamy (2),2,2
1455,1,Siliceous loamy (2),2,2
1456,1,Siliceous loamy (2),2,2
1457,1,Siliceous loamy (2),2,2
1463,1,Siliceous loamy (2),2,2
1465,1,Siliceous loamy (2),2,2
1468,1,Siliceous loamy (2),2,2
1469,1,Siliceous loamy (2),2,2
1474,1,Siliceous loamy (2),2,2
1478,1,Siliceous loamy (2),2,2
1479,1,Siliceous loamy (2),2,2
1480,1,Siliceous loamy (2),2,2
1485,1,Siliceous loamy (2),2,2
1486,1,Siliceous loamy (2),2,2
1493,1,Siliceous loamy (2),2,2
1495,1,Siliceous loamy (2),2,2
1502,1,Siliceous loamy (2),2,2
1503,1,Siliceous loamy (2),2,2
1512,1,Siliceous loamy (2),2,2
1520,1,Siliceous loamy (2),2,2
1523,1,Siliceous loamy (2),2,2
1524,1,Siliceous loamy (2),2,2
1526,1,Siliceous loamy (2),2,2
1528,1,Siliceous loamy (2),2,2
1537,1,Siliceous loamy (2),2,2
1539,1,Siliceous loamy (2),2,2
1542,1,Siliceous loamy (2),2,2
1545,1,Siliceous loamy (2),2,2
1550,1,Siliceous loamy (2),2,2
1551,1,Siliceous loamy (2),2,2
1552,1,Siliceous loamy (2),2,2
1566,1,Siliceous loamy (2),2,2
1568,1,Siliceous loamy (2),2,2
1571,1,Siliceous loamy (2),2,2
1576,1,Siliceous loamy (2),2,2
1577,1,Siliceous loamy (2),2,2
1579,1,Siliceous loamy (2),2,2
1581,1,Siliceous loamy (2),2,2
1586,1,Siliceous loamy (2),2,2
1588,1,Siliceous loamy (2),2,2
1600,1,Siliceous loamy (2),2,2
1613,1,Siliceous loamy (2),2,2
1614,1,Siliceous loamy (2),2,2
1625,1,Siliceous loamy (2),2,2
1626,1,Siliceous loamy (2),2,2
1627,1,Siliceous loamy (2),2,2
1633,1,Siliceous loamy (2),2,2
1634,1,Siliceous loamy (2),2,2
1635,1,Siliceous loamy (2),2,2
1638,1,Siliceous loamy (2),2,2
1642,1,Siliceous loamy (2),2,2
1649,1,Siliceous loamy (2),2,2
1655,1,Siliceous loamy (2),2,2
1657,1,Siliceous loamy (2),2,2
1661,1,Siliceous loamy (2),2,2
1675,1,Siliceous loamy (2),2,2
1686,1,Siliceous loamy (2),2,2
1687,1,Siliceous loamy (2),2,2
1688,1,Siliceous loamy (2),2,2
1701,1,Siliceous loamy (2),2,2
1704,1,Siliceous loamy (2),2,2
1705,1,Siliceous loamy (2),2,2
1708,1,Siliceous loamy (2),2,2
1713,1,Siliceous loamy (2),2,2
1718,1,Siliceous loamy (2),2,2
1720,1,Siliceous loamy (2),2,2
1722,1,Siliceous loamy (2),2,2
1733,1,Siliceous loamy (2),2,2
1734,1,Siliceous loamy (2),2,2
1735,1,Siliceous loamy (2),2,2
1736,1,Siliceous loamy (2),2,2
1738,1,Siliceous loamy (2),2,2
1739,1,Siliceous loamy (2),2,2
1744,1,Siliceous loamy (2),2,2
1748,1,Siliceous loamy (2),2,2
1749,1,Siliceous loamy (2),2,2
1752,1,Siliceous loamy (2),2,2
1757,1,Siliceous loamy (2),2,2
1758,1,Siliceous loamy (2),2,2
1760,1,Siliceous loamy (2),2,2
1773,1,Siliceous loamy (2),2,2
1782,1,Siliceous loamy (2),2,2
1786,1,Siliceous loamy (2),2,2
1787,1,Siliceous loamy (2),2,2
1789,1,Siliceous loamy (2),2,2
1791,1,Siliceous loamy (2),2,2
1798,1,Siliceous loamy (2),2,2
1802,1,Siliceous loamy (2),2,2
1807,1,Siliceous loamy (2),2,2
1808,1,Siliceous loamy (2),2,2
1815,1,Siliceous loamy (2),2,2
1824,1,Siliceous loamy (2),2,2
1828,1,Siliceous loamy (2),2,2
1829,1,Siliceous loamy (2),2,2
1836,1,Siliceous loamy (2),2,2
1842,1,Siliceous loamy (2),2,2
1844,1,Siliceous loamy (2),2,2
1845,1,Siliceous loamy (2),2,2
1846,1,Siliceous loamy (2),2,2
1849,1,Siliceous loamy (2),2,2
1851,1,Siliceous loamy (2),2,2
1855,1,Siliceous loamy (2),2,2
1856,1,Siliceous loamy (2),2,2
1857,1,Siliceous loamy (2),2,2
1859,1,Siliceous loamy (2),2,2
1862,1,Siliceous loamy (2),2,2
1866,1,Siliceous loamy (2),2,2
1870,1,Siliceous loamy (2),2,2
1875,1,Siliceous loamy (2),2,2
1876,1,Siliceous loamy (2),2,2
1896,1,Siliceous loamy (2),2,2
1904,1,Siliceous loamy (2),2,2
1905,1,Siliceous loamy (2),2,2
1919,1,Siliceous loamy (2),2,2
1920,1,Siliceous loamy (2),2,2
1923,1,Siliceous loamy (2),2,2
1926,1,Siliceous loamy (2),2,2
1927,1,Siliceous loamy (2),2,2
1932,1,Siliceous loamy (2),2,2
1936,1,Siliceous loamy (2),2,2
1946,1,Siliceous loamy (2),2,2
1951,1,Siliceous loamy (2),2,2
1953,1,Siliceous loamy (2),2,2
1954,1,Siliceous loamy (2),2,2
1957,1,Siliceous loamy (2),2,2
1959,1,Siliceous loamy (2),2,2
1967,1,Siliceous loamy (2),2,2
1969,1,Siliceous loamy (2),2,2
1972,1,Siliceous loamy (2),2,2
1982,1,Siliceous loamy (2),2,2
1983,1,Siliceous loamy (2),2,2
1984,1,Siliceous loamy (2),2,2
1985,1,Siliceous loamy (2),2,2
1989,1,Siliceous loamy (2),2,2
1990,1,Siliceous loamy (2),2,2
2001,1,Siliceous loamy (2),2,2
2007,1,Siliceous loamy (2),2,2
2019,1,Siliceous loamy (2),2,2
2023,1,Siliceous loamy (2),2,2
2027,1,Siliceous loamy (2),2,2
2033,1,Siliceous loamy (2),2,2
2036,1,Siliceous loamy (2),2,2
2037,1,Siliceous loamy (2),2,2
2045,1,Siliceous loamy (2),2,2
2061,1,Siliceous loamy (2),2,2
2067,1,Siliceous loamy (2),2,2
2071,1,Siliceous loamy (2),2,2
2072,1,Siliceous loamy (2),2,2
2074,1,Siliceous loamy (2),2,2
2094,1,Siliceous loamy (2),2,2
2097,1,Siliceous loamy (2),2,2
2098,1,Siliceous loamy (2),2,2
2104,1,Siliceous loamy (2),2,2
2112,1,Siliceous loamy (2),2,2
2115,1,Siliceous loamy (2),2,2
