OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
123,2,1554.589099,241.389542,249.775146,8.385605,245.582344,4.192802,491.164688
124,2,1554.589099,6.340191,351.253845,344.913654,178.797018,172.456827,357.594036
125,2,1554.589099,227.60257,273.814087,46.211517,250.708328,23.105759,501.416656
126,1,777.294549,150.945389,150.945389,0,150.945389,0,150.945389
127,2,1554.589099,11.309932,33.690067,22.380136,22.5,11.190068,44.999999
128,2,1554.589099,100.619652,137.489548,36.869896,119.0546,18.434948,238.1092
129,1,777.294549,261.119354,261.119354,0,261.119354,0,261.119354
130,2,1554.589099,36.573032,42.878902,6.30587,39.725967,3.152935,79.451935
131,2,1554.589099,233.130096,284.036255,50.906158,258.583176,25.453079,517.166351
132,2,1554.589099,14.036242,356.185913,342.149671,185.111078,171.074835,370.222156
133,2,1554.589099,264.472473,279.162354,14.68988,271.817413,7.34494,543.634827
134,1,777.294549,153.434952,153.434952,0,153.434952,0,153.434952
135,1,777.294549,198.434952,198.434952,0,198.434952,0,198.434952
136,2,1554.589099,90,125.537682,35.537682,107.768841,17.768841,215.537682
137,1,777.294549,6.340191,6.340191,0,6.340191,0,6.340191
138,1,777.294549,284.858612,284.858612,0,284.858612,0,284.858612
139,2,1554.589099,302.005371,323.746155,21.740784,312.875763,10.870392,625.751526
140,1,777.294549,116.565048,116.565048,0,116.565048,0,116.565048
141,2,1554.589099,94.63546,257.471191,162.835732,176.053326,81.417866,352.106651
142,2,1554.589099,280.619659,307.405365,26.785706,294.012512,13.392853,588.025024
143,2,1554.589099,232.125015,239.03624,6.911224,235.580627,3.455612,471.161255
144,2,1554.589099,288.434937,306.869904,18.434967,297.65242,9.217484,595.30484
145,2,1554.589099,285.255127,348.690063,63.434937,316.972595,31.717468,633.94519
146,2,1554.589099,249.443954,251.565048,2.121094,250.504501,1.060547,501.009003
147,1,777.294549,2.337305,2.337305,0,2.337305,0,2.337305
148,2,1554.589099,335.55603,351.869904,16.313873,343.712967,8.156937,687.425934
149,2,1554.589099,41.729511,41.820171,0.09066,41.774841,0.04533,83.549683
150,1,777.294549,278.343903,278.343903,0,278.343903,0,278.343903
151,2,1554.589099,108.434952,225,116.565048,166.717476,58.282524,333.434952
152,2,1554.589099,83.659805,90,6.340195,86.829903,3.170097,173.659805
153,1,777.294549,279.637543,279.637543,0,279.637543,0,279.637543
154,2,1554.589099,-1,-1,0,-1,0,-2
155,2,1554.589099,163.610458,195.255127,31.644669,179.432793,15.822334,358.865585
156,2,1554.589099,251.565048,274.398712,22.833664,262.98188,11.416832,525.96376
157,2,1554.589099,288.434937,290.224854,1.789917,289.329895,0.894958,578.65979
158,2,1554.589099,0,329.036255,329.036255,164.518127,164.518127,329.036255
159,1,777.294549,289.112976,289.112976,0,289.112976,0,289.112976
160,2,1554.589099,7.594643,356.82016,349.225517,182.207401,174.612759,364.414803
161,2,1554.589099,315,345.963745,30.963745,330.481873,15.481873,660.963745
162,2,1554.589099,341.565063,348.690063,7.125,345.127563,3.5625,690.255127
163,2,1554.589099,75.699722,102.38076,26.681038,89.040241,13.340519,178.080482
164,2,1554.589099,94.398705,115.016891,20.618187,104.707798,10.309093,209.415596
165,2,1554.589099,105.945396,108.434952,2.489555,107.190174,1.244778,214.380348
166,1,777.294549,326.76828,326.76828,0,326.76828,0,326.76828
167,1,777.294549,61.699245,61.699245,0,61.699245,0,61.699245
168,2,1554.589099,26.56505,45,18.43495,35.782525,9.217475,71.56505
169,2,1554.589099,250.559967,257.005371,6.445404,253.782669,3.222702,507.565338
170,2,1554.589099,101.309929,315,213.690071,208.154964,106.845036,416.309929
171,2,1554.589099,177.95459,183.57634,5.62175,180.765465,2.810875,361.53093
172,1,777.294549,116.565048,116.565048,0,116.565048,0,116.565048
