OBJECTID *,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
242,2,1554.589099,151.699249,225,73.300751,188.349625,36.650375,376.699249
243,1,777.294549,315,315,0,315,0,315
244,1,777.294549,169.50853,169.50853,0,169.50853,0,169.50853
245,2,1554.589099,119.744881,122.471191,2.726311,121.108036,1.363155,242.216072
246,2,1554.589099,266.185913,292.380127,26.194214,279.28302,13.097107,558.56604
247,2,1554.589099,3.36646,356.308624,352.942164,179.837542,176.471082,359.675084
248,1,777.294549,136.023026,136.023026,0,136.023026,0,136.023026
249,2,1554.589099,327.264771,340.346161,13.08139,333.805466,6.540695,667.610931
250,2,1554.589099,145.30484,168.690063,23.385223,156.997452,11.692612,313.994904
251,2,1554.589099,125.537682,146.309937,20.772255,135.923809,10.386127,271.847618
252,1,777.294549,194.03624,194.03624,0,194.03624,0,194.03624
253,2,1554.589099,323.130096,330.945404,7.815308,327.03775,3.907654,654.0755
254,2,1554.589099,96.340195,123.690071,27.349876,110.015133,13.674938,220.030266
255,1,777.294549,40.601295,40.601295,0,40.601295,0,40.601295
256,1,777.294549,198.434952,198.434952,0,198.434952,0,198.434952
257,2,1554.589099,225,239.03624,14.03624,232.01812,7.01812,464.03624
258,1,777.294549,78.023865,78.023865,0,78.023865,0,78.023865
259,1,777.294549,5.710592,5.710592,0,5.710592,0,5.710592
260,1,777.294549,206.565048,206.565048,0,206.565048,0,206.565048
261,2,1554.589099,8.695502,9.605204,0.909701,9.150353,0.454851,18.300706
262,2,1554.589099,279.462311,291.037506,11.575195,285.249908,5.787598,570.499817
263,1,777.294549,135,135,0,135,0,135
264,2,1554.589099,26.56505,90,63.43495,58.282525,31.717475,116.56505
265,1,777.294549,345.963745,345.963745,0,345.963745,0,345.963745
266,2,1554.589099,38.659809,51.483074,12.823265,45.071442,6.411633,90.142883
267,2,1554.589099,3.814074,6.340191,2.526117,5.077132,1.263058,10.154265
268,2,1554.589099,0,0,0,0,0,0
269,1,777.294549,243.434952,243.434952,0,243.434952,0,243.434952
270,2,1554.589099,32.471191,90,57.528809,61.235596,28.764404,122.471191
271,1,777.294549,216.027374,216.027374,0,216.027374,0,216.027374
272,1,777.294549,302.735229,302.735229,0,302.735229,0,302.735229
273,2,1554.589099,0,333.434937,333.434937,166.717468,166.717468,333.434937
274,2,1554.589099,71.565048,90,18.434952,80.782524,9.217476,161.565048
275,2,1554.589099,68.198593,77.005386,8.806793,72.60199,4.403397,145.203979
276,2,1554.589099,180,225,45,202.5,22.5,405
277,1,777.294549,112.380135,112.380135,0,112.380135,0,112.380135
278,1,777.294549,112.166344,112.166344,0,112.166344,0,112.166344
279,1,777.294549,65.224861,65.224861,0,65.224861,0,65.224861
280,2,1554.589099,70.942299,75.963753,5.021454,73.453026,2.510727,146.906052
281,2,1554.589099,184.085617,190.784302,6.698685,187.434959,3.349342,374.869919
282,2,1554.589099,263.659821,290.772247,27.112427,277.216034,13.556213,554.432068
283,2,1554.589099,349.380341,352.405365,3.025024,350.892853,1.512512,701.785706
284,1,777.294549,237.528809,237.528809,0,237.528809,0,237.528809
285,2,1554.589099,246.801407,270,23.198593,258.400703,11.599297,516.801407
286,1,777.294549,300.963745,300.963745,0,300.963745,0,300.963745
287,1,777.294549,278.130096,278.130096,0,278.130096,0,278.130096
288,1,777.294549,107.10273,107.10273,0,107.10273,0,107.10273
289,1,777.294549,176.05481,176.05481,0,176.05481,0,176.05481
290,1,777.294549,18.434948,18.434948,0,18.434948,0,18.434948
291,2,1554.589099,261.027374,281.309937,20.282562,271.168655,10.141281,542.337311
292,2,1554.589099,198.434952,209.744888,11.309937,204.08992,5.654968,408.17984
293,2,1554.589099,45,75.963753,30.963753,60.481876,15.481876,120.963753
294,1,777.294549,180,180,0,180,0,180
295,1,777.294549,150.255112,150.255112,0,150.255112,0,150.255112
296,2,1554.589099,146.309937,180,33.690063,163.154968,16.845032,326.309937
297,2,1554.589099,163.300751,165.96376,2.66301,164.632256,1.331505,329.264511
298,2,1554.589099,198.434952,231.340195,32.905243,214.887573,16.452621,429.775146
299,2,1554.589099,23.552263,54.462322,30.910059,39.007293,15.455029,78.014585
300,2,1554.589099,33.690067,34.695152,1.005085,34.19261,0.502542,68.38522
301,2,1554.589099,191.309937,225,33.690063,208.154968,16.845032,416.309937
302,2,1554.589099,207.897278,216.253845,8.356567,212.075562,4.178284,424.151123
303,2,1554.589099,321.58194,334.855225,13.273285,328.218582,6.636642,656.437164
304,1,777.294549,288.434937,288.434937,0,288.434937,0,288.434937
305,1,777.294549,42.545967,42.545967,0,42.545967,0,42.545967
306,1,777.294549,233.130096,233.130096,0,233.130096,0,233.130096
307,2,1554.589099,244.440033,251.565048,7.125015,248.002541,3.562508,496.005081
308,1,777.294549,330.945404,330.945404,0,330.945404,0,330.945404
309,2,1554.589099,326.633636,333.970398,7.336761,330.302017,3.668381,660.604034
310,1,777.294549,163.442932,163.442932,0,163.442932,0,163.442932
311,2,1554.589099,14.036242,351.869904,337.833661,182.953073,168.916831,365.906146
312,1,777.294549,174.805573,174.805573,0,174.805573,0,174.805573
313,1,777.294549,90,90,0,90,0,90
314,1,777.294549,315,315,0,315,0,315
315,1,777.294549,165.96376,165.96376,0,165.96376,0,165.96376
316,1,777.294549,245.556046,245.556046,0,245.556046,0,245.556046
317,2,1554.589099,187.125015,196.927521,9.802505,192.026268,4.901253,384.052536
318,2,1554.589099,221.633545,226.468796,4.835251,224.05117,2.417625,448.102341
319,1,777.294549,135,135,0,135,0,135
320,2,1554.589099,99.462326,140.710587,41.24826,120.086456,20.62413,240.172913
321,2,1554.589099,135,156.037506,21.037506,145.518753,10.518753,291.037506
322,1,777.294549,337.619873,337.619873,0,337.619873,0,337.619873
323,2,1554.589099,0,0,0,0,0,0
324,2,1554.589099,230.440338,233.530762,3.090424,231.98555,1.545212,463.9711
325,2,1554.589099,258.690063,270,11.309937,264.345032,5.654968,528.690063
326,1,777.294549,315,315,0,315,0,315
327,1,777.294549,160.201126,160.201126,0,160.201126,0,160.201126
