OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
137,777.294549,2.324922,2.324922,0,2.324922,0,2.324922
138,777.294549,12.805305,12.805305,0,12.805305,0,12.805305
139,1554.589099,4.767317,4.835396,0.068079,4.801357,0.034039,9.602714
140,777.294549,2.296425,2.296425,0,2.296425,0,2.296425
141,1554.589099,4.72599,9.449347,4.723356,7.087668,2.361678,14.175337
142,1554.589099,5.480814,8.304935,2.824121,6.892875,1.412061,13.785749
143,1554.589099,1.497547,2.9264,1.428853,2.211973,0.714426,4.423946
144,1554.589099,2.567137,3.245898,0.678761,2.906518,0.33938,5.813035
145,1554.589099,2.9264,3.923451,0.997051,3.424925,0.498526,6.84985
146,1554.589099,4.381105,4.862356,0.481251,4.621731,0.240625,9.243462
147,777.294549,23.737438,23.737438,0,23.737438,0,23.737438
148,1554.589099,3.10093,5.433025,2.332095,4.266977,1.166048,8.533955
149,1554.589099,12.532179,12.87735,0.345171,12.704764,0.172585,25.409529
150,777.294549,18.770842,18.770842,0,18.770842,0,18.770842
151,1554.589099,0.726543,1.624252,0.897709,1.175398,0.448854,2.350796
152,1554.589099,2.054204,2.324922,0.270717,2.189563,0.135359,4.379126
153,777.294549,13.551372,13.551372,0,13.551372,0,13.551372
154,1554.589099,0,0,0,0,0,0
155,1554.589099,2.9264,4.542484,1.616084,3.734442,0.808042,7.468884
156,1554.589099,2.435563,3.345572,0.910008,2.890567,0.455004,5.781135
157,1554.589099,5.187318,5.667846,0.480527,5.427582,0.240264,10.855164
158,1554.589099,1.497547,3.591687,2.09414,2.544617,1.04707,5.089234
159,777.294549,25.606184,25.606184,0,25.606184,0,25.606184
160,1554.589099,7.727571,9.182705,1.455133,8.455138,0.727567,16.910276
161,1554.589099,2.117369,2.903841,0.786472,2.510605,0.393236,5.021209
162,1554.589099,0.812289,1.309637,0.497348,1.060963,0.248674,2.121926
163,1554.589099,10.658408,13.277217,2.618809,11.967813,1.309404,23.935625
164,1554.589099,3.345572,4.244433,0.898861,3.795002,0.449431,7.590004
165,1554.589099,2.435563,3.735012,1.299449,3.085287,0.649724,6.170575
166,777.294549,8.835484,8.835484,0,8.835484,0,8.835484
167,777.294549,7.54188,7.54188,0,7.54188,0,7.54188
168,1554.589099,1.148674,3.628055,2.479381,2.388364,1.239691,4.776729
169,1554.589099,6.82214,9.182705,2.360565,8.002423,1.180282,16.004845
170,1554.589099,0.726543,2.617907,1.891363,1.672225,0.945682,3.34445
171,1554.589099,8.18034,14.10288,5.922541,11.14161,2.96127,22.28322
172,777.294549,2.296425,2.296425,0,2.296425,0,2.296425
173,1554.589099,5.348341,7.916826,2.568485,6.632584,1.284243,13.265167
174,1554.589099,14.576525,16.43746,1.860935,15.506992,0.930468,31.013985
175,1554.589099,8.777403,10.173562,1.396159,9.475482,0.69808,18.950965
176,777.294549,2.764596,2.764596,0,2.764596,0,2.764596
177,1554.589099,2.296425,3.345572,1.049147,2.820998,0.524573,5.641996
178,777.294549,24.071894,24.071894,0,24.071894,0,24.071894
179,1554.589099,3.122055,7.316062,4.194007,5.219059,2.097004,10.438118
180,777.294549,7.54188,7.54188,0,7.54188,0,7.54188
181,1554.589099,1.955623,2.296425,0.340802,2.126024,0.170401,4.252048
182,1554.589099,2.324922,3.442335,1.117413,2.883628,0.558707,5.767256
183,1554.589099,2.617907,2.835079,0.217172,2.726493,0.108586,5.452985
184,777.294549,5.034009,5.034009,0,5.034009,0,5.034009
185,1554.589099,7.018521,7.584501,0.565979,7.301511,0.28299,14.603022
186,777.294549,19.960577,19.960577,0,19.960577,0,19.960577
187,777.294549,10.676124,10.676124,0,10.676124,0,10.676124
188,777.294549,1.452853,1.452853,0,1.452853,0,1.452853
189,1554.589099,13.318753,15.649581,2.330828,14.484167,1.165414,28.968334
190,1554.589099,17.56712,20.56459,2.997471,19.065855,1.498735,38.13171
191,777.294549,1.815848,1.815848,0,1.815848,0,1.815848
192,1554.589099,0.812289,2.296425,1.484135,1.554357,0.742068,3.108714
193,777.294549,2.99305,2.99305,0,2.99305,0,2.99305
194,777.294549,12.452896,12.452896,0,12.452896,0,12.452896
195,1554.589099,12.487653,18.213339,5.725686,15.350496,2.862843,30.700992
196,1554.589099,3.591687,4.72599,1.134303,4.158839,0.567152,8.317677
197,777.294549,6.94439,6.94439,0,6.94439,0,6.94439
198,777.294549,13.766179,13.766179,0,13.766179,0,13.766179
199,777.294549,3.591687,3.591687,0,3.591687,0,3.591687
200,1554.589099,4.35111,5.433025,1.081914,4.892068,0.540957,9.784135
201,1554.589099,19.130896,20.682541,1.551645,19.906718,0.775823,39.813437
202,1554.589099,8.48821,16.683004,8.194795,12.585607,4.097397,25.171214
203,777.294549,7.447215,7.447215,0,7.447215,0,7.447215
204,1554.589099,1.452853,1.851784,0.398931,1.652318,0.199465,3.304637
205,777.294549,6.726532,6.726532,0,6.726532,0,6.726532
206,1554.589099,2.178696,2.54137,0.362674,2.360033,0.181337,4.720067
207,777.294549,4.410893,4.410893,0,4.410893,0,4.410893
208,777.294549,2.567137,2.567137,0,2.567137,0,2.567137
209,777.294549,9.688502,9.688502,0,9.688502,0,9.688502
210,1554.589099,6.521021,9.583003,3.061982,8.052012,1.530991,16.104024
211,1554.589099,3.423203,3.699707,0.276504,3.561455,0.138252,7.12291
212,1554.589099,5.893083,7.316062,1.42298,6.604573,0.71149,13.209145
213,1554.589099,4.35111,15.71802,11.36691,10.034565,5.683455,20.069131
214,1554.589099,11.260325,11.923056,0.66273,11.591691,0.331365,23.183381
215,777.294549,13.64583,13.64583,0,13.64583,0,13.64583
216,2331.883648,7.916826,13.442481,5.525655,10.510956,2.26842,31.532869
217,1554.589099,1.148674,2.99305,1.844376,2.070862,0.922188,4.141724
218,1554.589099,4.054935,4.22897,0.174035,4.141953,0.087018,8.283905
219,1554.589099,1.815848,2.296425,0.480577,2.056136,0.240288,4.112272
220,1554.589099,1.955623,2.835079,0.879456,2.395351,0.439728,4.790702
221,1554.589099,7.236179,22.45816,15.221981,14.84717,7.610991,29.69434
222,777.294549,4.875779,4.875779,0,4.875779,0,4.875779
223,1554.589099,1.540942,1.955623,0.414681,1.748283,0.20734,3.496565
224,1554.589099,5.969853,6.859996,0.890143,6.414925,0.445071,12.82985
225,1554.589099,9.991477,11.387508,1.396031,10.689493,0.698016,21.378985
226,1554.589099,3.122055,4.22897,1.106915,3.675513,0.553457,7.351025
227,1554.589099,7.447215,9.87663,2.429415,8.661922,1.214707,17.323845
228,1554.589099,1.148674,2.117369,0.968695,1.633021,0.484348,3.266043
229,1554.589099,1.497547,1.955623,0.458076,1.726585,0.229038,3.45317
230,777.294549,0.726543,0.726543,0,0.726543,0,0.726543
231,777.294549,4.929098,4.929098,0,4.929098,0,4.929098
232,1554.589099,15.235098,15.71802,0.482923,15.476559,0.241461,30.953118
233,777.294549,1.540942,1.540942,0,1.540942,0,1.540942
234,777.294549,1.497547,1.497547,0,1.497547,0,1.497547
235,777.294549,2.835079,2.835079,0,2.835079,0,2.835079
236,1554.589099,0.363286,1.148674,0.785387,0.75598,0.392694,1.51196
237,777.294549,11.475064,11.475064,0,11.475064,0,11.475064
238,777.294549,1.148674,1.148674,0,1.148674,0,1.148674
239,777.294549,1.452853,1.452853,0,1.452853,0,1.452853
240,1554.589099,2.835079,3.591687,0.756608,3.213383,0.378304,6.426766
241,777.294549,3.10093,3.10093,0,3.10093,0,3.10093
242,1554.589099,0.513758,2.835079,2.321321,1.674418,1.160661,3.348836
243,1554.589099,5.034009,5.034009,0,5.034009,0,10.068018
244,1554.589099,2.435563,3.079659,0.644095,2.757611,0.322048,5.515222
245,1554.589099,2.178696,4.054935,1.876239,3.116816,0.938119,6.233631
246,1554.589099,12.032153,13.095479,1.063326,12.563816,0.531663,25.127632
247,777.294549,3.079659,3.079659,0,3.079659,0,3.079659
248,1554.589099,2.567137,3.591687,1.02455,3.079412,0.512275,6.158824
249,1554.589099,9.070886,10.569345,1.498459,9.820115,0.749229,19.64023
250,1554.589099,12.006278,13.748426,1.742148,12.877352,0.871074,25.754704
251,1554.589099,19.237198,23.944584,4.707386,21.590891,2.353693,43.181782
252,1554.589099,5.656342,6.183799,0.527457,5.920071,0.263729,11.840141
253,777.294549,0.513758,0.513758,0,0.513758,0,0.513758
254,1554.589099,2.903841,4.366134,1.462293,3.634987,0.731147,7.269974
255,1554.589099,0.812289,1.148674,0.336384,0.980481,0.168192,1.960963
256,1554.589099,1.815848,3.787345,1.971498,2.801596,0.985749,5.603193
257,1554.589099,8.140991,10.473432,2.33244,9.307211,1.16622,18.614423
258,1554.589099,4.425711,6.726532,2.300821,5.576121,1.15041,11.152242
259,777.294549,9.818662,9.818662,0,9.818662,0,9.818662
260,1554.589099,2.324922,3.079659,0.754737,2.70229,0.377368,5.40458
261,1554.589099,17.055183,19.104198,2.049015,18.079691,1.024508,36.159382
262,1554.589099,3.286134,5.848748,2.562615,4.567441,1.281307,9.134882
263,777.294549,7.652177,7.652177,0,7.652177,0,7.652177
264,777.294549,20.058311,20.058311,0,20.058311,0,20.058311
265,1554.589099,5.621686,8.013705,2.392019,6.817696,1.19601,13.635391
266,1554.589099,4.366134,5.516378,1.150244,4.941256,0.575122,9.882512
267,1554.589099,5.991602,6.400519,0.408916,6.196061,0.204458,12.392121
268,1554.589099,2.567137,3.286134,0.718996,2.926635,0.359498,5.853271
269,1554.589099,0.726543,2.764596,2.038052,1.745569,1.019026,3.491139
270,1554.589099,0.363286,1.148674,0.785387,0.75598,0.392694,1.51196
271,777.294549,2.9264,2.9264,0,2.9264,0,2.9264
272,777.294549,4.585495,4.585495,0,4.585495,0,4.585495
273,777.294549,0.812289,0.812289,0,0.812289,0,0.812289
274,777.294549,0.812289,0.812289,0,0.812289,0,0.812289
275,1554.589099,2.567137,2.567137,0,2.567137,0,5.134274
276,1554.589099,11.902148,21.577015,9.674867,16.739582,4.837433,33.479163
277,777.294549,3.856006,3.856006,0,3.856006,0,3.856006
278,777.294549,1.851784,1.851784,0,1.851784,0,1.851784
279,1554.589099,4.054935,4.103142,0.048207,4.079038,0.024103,8.158077
280,1554.589099,7.660593,9.449347,1.788754,8.55497,0.894377,17.109939
281,777.294549,8.835484,8.835484,0,8.835484,0,8.835484
282,1554.589099,2.435563,2.9264,0.490837,2.680981,0.245418,5.361963
283,777.294549,1.955623,1.955623,0,1.955623,0,1.955623
284,777.294549,0.363286,0.363286,0,0.363286,0,0.363286
285,777.294549,15.254767,15.254767,0,15.254767,0,15.254767
286,777.294549,5.83761,5.83761,0,5.83761,0,5.83761
287,777.294549,9.818662,9.818662,0,9.818662,0,9.818662
288,1554.589099,2.764596,3.573363,0.808767,3.168979,0.404384,6.337958
289,777.294549,11.125899,11.125899,0,11.125899,0,11.125899
290,1554.589099,6.440946,6.793604,0.352658,6.617275,0.176329,13.23455
291,777.294549,0.812289,0.812289,0,0.812289,0,0.812289
292,1554.589099,8.227297,11.902148,3.674851,10.064723,1.837426,20.129445
293,777.294549,3.573363,3.573363,0,3.573363,0,3.573363
294,1554.589099,15.096557,29.084703,13.988147,22.09063,6.994073,44.18126
295,1554.589099,3.442335,4.712132,1.269798,4.077234,0.634899,8.154467
296,1554.589099,1.148674,4.134963,2.986289,2.641818,1.493145,5.283637
297,1554.589099,3.122055,3.423203,0.301148,3.272629,0.150574,6.545258
298,1554.589099,2.054204,3.423203,1.368999,2.738704,0.684499,5.477407
299,777.294549,14.248615,14.248615,0,14.248615,0,14.248615
300,777.294549,11.823378,11.823378,0,11.823378,0,11.823378
301,1554.589099,4.875779,7.018521,2.142743,5.94715,1.071371,11.8943
302,1554.589099,0,0,0,0,0,0
303,1554.589099,7.727571,8.242886,0.515314,7.985229,0.257657,15.970457
304,777.294549,19.791523,19.791523,0,19.791523,0,19.791523
305,777.294549,2.99305,2.99305,0,2.99305,0,2.99305
306,1554.589099,10.223173,16.651228,6.428055,13.437201,3.214027,26.874401
307,1554.589099,3.923451,4.006141,0.08269,3.964796,0.041345,7.929591
308,1554.589099,3.122055,3.856006,0.733951,3.48903,0.366975,6.978061
309,1554.589099,4.244433,4.410893,0.16646,4.327663,0.08323,8.655326
310,1554.589099,3.266078,5.480814,2.214736,4.373446,1.107368,8.746892
311,777.294549,3.245898,3.245898,0,3.245898,0,3.245898
312,1554.589099,1.452853,1.497547,0.044694,1.4752,0.022347,2.9504
313,1554.589099,12.317801,17.201942,4.884142,14.759871,2.442071,29.519743
314,777.294549,8.013705,8.013705,0,8.013705,0,8.013705
315,1554.589099,20.194078,20.53496,0.340881,20.364519,0.170441,40.729038
316,1554.589099,3.856006,4.134963,0.278957,3.995484,0.139479,7.990969
317,1554.589099,0.726543,6.024074,5.297531,3.375309,2.648765,6.750617
318,777.294549,6.318864,6.318864,0,6.318864,0,6.318864
319,1554.589099,4.712132,5.034009,0.321877,4.873071,0.160938,9.746141
320,1554.589099,10.123686,12.87735,2.753664,11.500518,1.376832,23.001036
321,1554.589099,17.450907,18.12463,0.673723,17.787768,0.336862,35.575537
322,1554.589099,12.006278,12.982194,0.975916,12.494236,0.487958,24.988472
323,1554.589099,4.366134,4.875779,0.509645,4.620956,0.254822,9.241912
324,1554.589099,1.624252,2.208719,0.584467,1.916486,0.292234,3.832971
325,777.294549,2.54137,2.54137,0,2.54137,0,2.54137
326,777.294549,4.542484,4.542484,0,4.542484,0,4.542484
327,1554.589099,14.354671,15.965939,1.611268,15.160305,0.805634,30.320609
328,777.294549,2.617907,2.617907,0,2.617907,0,2.617907
329,1554.589099,6.82214,8.718911,1.896771,7.770526,0.948385,15.541051
330,777.294549,2.208719,2.208719,0,2.208719,0,2.208719
331,1554.589099,8.770114,9.87663,1.106516,9.323372,0.553258,18.646744
332,777.294549,2.642924,2.642924,0,2.642924,0,2.642924
333,1554.589099,7.227247,7.727571,0.500325,7.477409,0.250162,14.954818
334,1554.589099,3.345572,5.433025,2.087453,4.389298,1.043727,8.778596
335,777.294549,1.624252,1.624252,0,1.624252,0,1.624252
336,777.294549,3.245898,3.245898,0,3.245898,0,3.245898
337,1554.589099,3.735012,4.484484,0.749472,4.109748,0.374736,8.219496
338,777.294549,3.856006,3.856006,0,3.856006,0,3.856006
339,777.294549,1.955623,1.955623,0,1.955623,0,1.955623
340,1554.589099,1.851784,2.208719,0.356936,2.030252,0.178468,4.060503
341,777.294549,18.41094,18.41094,0,18.41094,0,18.41094
