Site,Type,Latitude,Longitude
Pêgo do Diabo,Cave,38.863075,-9.220715
Pegos do Tejo 2,Open air,36.918078,-9.94765
Pinhal da Ferraria,Open air,39.433614,-8.289208
Pinheiro,Open air,37.076649,-7.715871
Poço,Open air,39.504725,-8.77413
Pomar dos Pêssegos III,Open air,39.617317,-8.965733
Ponte de Santo António I,Undetermined,39.480768,-8.317905
Pontinha,Isolated finding,39.346617,-7.444837
Porto do Tejo,Open air,39.647379,-7.672791
Porto Meirinho 1,Open air,38.279103,-7.40738
Povo da Martinela,Knapping workshop,39.719334,-8.733686
Praia da Falésia,Lithic scatter,37.086837,-8.166263
Praia da Galé,Open air,37.087592,-8.321476
Praia de São Julião,Isolated finding,38.930673,-9.420096
Praia do Dafundo,Lithic scatter,38.699159,-9.246963
Pedrógão,Open air,39.919177,-8.95359
Praia do Rei Cortiço,Open air,39.422767,-9.243511
Quarteira,Open air,37.069264,-8.092604
Quebradas,Lithic scatter,39.329824,-9.15332
Queijas,Lithic scatter,38.721854,-9.256859
Queluz de Baixo,Lithic scatter,38.745746,-9.266688
Quinta da Figueirinha,Lithic scatter,38.696676,-9.303798
Quinta da Fonte,Lithic scatter,38.711685,-9.297271
Quinta da Rosa,Open air,39.318628,-8.923008
Quinta da Torre 1,Isolated finding,40.668031,-7.372424
Quinta de Além 1,Open air,39.045884,-9.205611
Quinta de São Mamede,Lithic scatter,41.444642,-7.938911
Quinta de Vale dos Lobos,Lithic scatter,39.286503,-8.693148
Quinta do Barbado 1,Lithic scatter,40.067561,-7.390533
Quinta do Bré,Lithic scatter,38.739032,-9.284547
Quinta do Furadouro I,Lithic scatter,39.374831,-9.236137
Quinta do Furadouro V,Lithic scatter,39.350889,-9.228764
Quinta do Jardim - Murganhal,Lithic scatter,38.713184,-9.273991
Quinta do Servato,Lithic scatter,39.283101,-8.689854
Quinta dos Salregos,Lithic scatter,38.728207,-9.223265
Quinta Nova de Santo António ou dos Ingleses,Lithic scatter,38.682059,-9.336334
Rapa Chapéus,Knapping workshop,39.433858,-8.26213
Revelada 3,Lithic scatter,39.670524,-7.668064
Revelada 4,Lithic scatter,39.6679,-7.667335
Revelada 5,Lithic scatter,39.672779,-7.66832
Ribeira da Atalaia,Open air,39.473811,-8.461925
Ribeira da Glória do Ribatejo,Open air,39.039822,-8.63277
Ribeira das Aradas,Lithic scatter,40.05276,-8.372025
Ribeira de Cacela,Open air,37.159719,-7.544297
Ribeira de Vale Galego 1,Open air,39.545701,-8.569269
Ribeira de Vale Galego 2,Open air,39.541617,-8.572652
Ribeira de Vale Galego 3,Open air,39.540234,-8.571655
Ribeira do Alvorão 1,Open air,39.539428,-8.550932
Ribeira do Alvorão 3,Undetermined,39.540011,-8.556519
Ribeira do Alvorão 6,Open air,39.541074,-8.551477
